publication_number,title,abstract,publication_date,assignee,inventor,cpc_code
CA-3105224-A1,Implantable medical device deployment system,"Embodiments of a deployment system and an implantable medical device are disclosed. The deployment system includes: a catheter having a first end and a second end; a tip coupled to the first end of the catheter; one or more constraining lines arranged through one or more eyelets of the implantable medical device and configured to collapse portions of the implantable medical device toward the catheter; and one or more release lines configured to engage the one or more constraining lines. The one or more release lines may be further configured to, for example, maintain contact between the implantable medical device and the one or more constraining lines during deployment, the one or more release lines being partially nested in the tip.",20200123,GORE & ASS,COLE DANIEL S,A61F2220/0083
US-12053381-B2,Implantable medical device deployment system,"Various aspects of the present disclosure are directed toward apparatuses, systems ( 200 ), and methods for deploying a medical device ( 202 ). In certain instances, the medical device ( 202 ) may be a shunt device. In addition, the apparatuses, systems ( 200 ), and methods may include one or more constraining lines ( 212 ) arranged through a portion of the implantable medical device ( 202 ) and one or more release lines ( 216 ) configured to engage the one or more constraining lines ( 212 ).",20240806,GORE & ASS,COLE DANIEL S,A61F2220/0083
US-11896811-B2,Implantable ventricular assist devices and methods,"Various aspects of the present disclosure are directed toward implantable medical devices, systems, and methods for cardiac assistance.",20240213,GORE & ASS,BRYSON SCOTT M,A61M60/894
US-11510679-B2,Multiple inflation endovascular medical device,"A medical device may include a catheter, an expandable member, a cover, and an actuator. The catheter may include a longitudinal axis, proximal and distal ends, and a cover lumen extending from the proximal to the distal end. The expandable member may include proximal and distal ends and may be disposed on a distal section of the catheter. The cover may include a first region that may be disposed along the expandable member, and a second region that may extend along a length of the catheter beyond the proximal end of the expandable member towards the proximal end of the catheter. A first end of the cover may invert into the cover lumen. The actuator may be coupled to the first end of the cover and configured to move the first end of the cover towards the proximal end of the catheter along the longitudinal axis of the catheter.",20221129,GORE & ASS,BROYLES MICHAEL,A61M25/104
US-2023172508-A1,Cognitive notifications choreographer,"The present invention may include a computer receives one or more communications and data from a sensor. The computer determines an activity of a user based on the received data, wherein the activity is determined by a trained neural network. The computer calculates a stress coefficient based on the activity and the data. The computer generates a cognitive notifications choreographer model from the stress coefficient and one or more communications and causes a communication software to reply to the one or more communications based on the cognitive notifications choreographer model determining the stress coefficient above a threshold value.",20230608,IBM,CUNICO HERNAN A,G10L25/66
US-2021401593-A1,Liquid cooling for medical devices,"Embodiments include a cooling device for a medical device. The cooling device including a controller configured to receive data from one or more temperature sensors and a pump, configured to be operated by the controller, to circulate a cooling fluid through a cooling system and through fluid channels in the medical device. The cooling device is configured to be worn by a user and to be selectively coupled to the medical device by the user.",20211230,IBM,NOTOHARDJONO BUDY,A45F3/166
US-2022058529-A1,Detecting Human Input Activity in a Cognitive Environment Using Wearable Inertia and Audio Sensors,A mechanism is provided in a data processing system comprising a processor and a memory. The memory comprises instructions which are executed by the processor to cause the processor to be specifically configured to implement a recognizer module for detecting user input in a cognitive environment. The recognizer module receives sensor signals from at least one wearable device being worn by a user. The recognizer module analyzes the sensor signals using a machine learning model to determine at least one user input indicator describing user input activity of the user. The recognizer module communicates the at least one user input indicator to a cognitive system executing within the cognitive environment. The cognitive system performs at least one cognitive action based on the at least one user input indicator.,20220224,IBM,DIBIA VICTOR C,A61B5/1118
US-11301991-B2,Methods and systems for performing image analytics using graphical reporting associated with clinical images,Methods and systems for performing image analytics using graphical reporting associated with clinical images. One system includes at least one data source and a server. The server includes an electronic processor and an interface for communicating with the data source. The electronic processor is configured to receive training information from the at least one data source over the interface. The training information includes a plurality of images and graphical reporting associated with each of the plurality of images. Each graphical reporting includes a graphical marker designating a portion of one of the plurality of images and diagnostic information associated with the portion of the one of the plurality of images. The electronic processor is also configured to perform machine learning to develop a model using the training information. The model is used to automatically analyze an image.,20220412,IBM,REICHER MURRAY A,G06T12/30
US-2021128053-A1,Epileptic seizure detection with eeg preprocessing,Methods and systems for detecting seizures include generating two-dimensional frames that each include a first set of elements that store measurements from sensors and a second set of elements that store values calculated from said measurements. The two-dimensional frames are classified using a machine learning model. It is determined that a subject experienced a seizure during a measurement interval based on an output of the machine learning model. A corrective action is performed responsive to the determination that the subject experienced a seizure.,20210506,IBM,YANAGISAWA HIROKI,A61B5/372
US-11302044-B2,Method of determining contrast phase of a computerized tomography image,"A computer-implemented method for classifying and presenting a contrast phase (CP) of a contrast enhanced computerized tomography (CECT) scan is provided. The method includes training an artificial intelligence (AI) algorithm utilizing a set of CPs labeled CECT data to associate a set of characteristics of the data with a probability associated with the CP. The method includes receiving a new set of unlabeled CECT data, and applying the AI algorithm to the new unlabeled CECT data to associate a first probability of a first CP and a second probability of a second CP. The method also includes providing a graphical representation including the first probability of the first CP and the second probability of the second CP.",20220412,IBM,SITEK ARKADIUSZ,A61B6/5217
US-2022031199-A1,Mobility analysis,"A method, a structure, and a computer system for assessing user mobility. The exemplary embodiments may include collecting mobility data corresponding to a user and extracting one or more low level features from the mobility data. The exemplary embodiments may further include extracting one or more clinical level features from the low level features and assessing one or more health conditions of the user based on applying one or more models to the one or more clinical level features.",20220203,IBM,HAO TIAN,G16H50/30
US-2019311803-A1,Medical device system performance index,"A distributed network system and method includes a processing unit configured to manage safety data for a plurality of medical devices, a database software component in communication with the processing unit, and a monitoring software component in communication with the processing unit. The monitoring software component is configured to monitor a number of messages between a number of medical devices and the processing unit, to process performance parameters to generate an overall performance index, and to generate an output that is viewable by a user. The output includes relative contributions of each of the performance parameters to the overall performance index, where the overall performance index is generated using a weighting factor associated with each of the performance parameters. The performance parameters include the number of messages waiting to be processed, which has the largest weighting factor, and a disk queue length, which has the smallest weighting factor.",20191010,ICU MEDICAL INC,KOHLBRECHER CHRISTOPHER EGAN,G16H40/40
US-12046361-B2,Tagging pump messages with identifiers that facilitate restructuring,"Various techniques for facilitating communication with and across a clinical environment and a cloud environment are described. For example, a method for tagging messages with facility identifiers in a manner that does not require changing the identifiers when logically re-arranging the facilities. A connectivity adapter in the clinical environment can receive a message from an infusion pump and tag the message with only permanent IDs such that when the facility in which the connectivity resides is categorized under a different system or region, the identifiers in the message need not be updated.",20240723,ICU MEDICAL INC,XAVIER BEN,H04L43/16
US-12142370-B2,Passing authentication token to authorize access to rest calls via web sockets,"Various techniques for facilitating communication with and across a clinical environment and a cloud environment are described. For example, a method for authenticating a network device residing in the clinical environment using a token is described. An authentication proxy in the cloud environment can receive a request from a connectivity adapter in the clinical environment and retrieve a security token from an authentication system in the cloud. The connectivity adapter can use the security token to send signed requests to the authentication system.",20241112,ICU MEDICAL INC,XAVIER BEN,H04L43/16
US-11599854-B2,Systems and methods for a graphical interface including a graphical representation of medical data,This disclosure describes systems and methods for a graphical interface including a graphical representation of medical data. The graphical interface platform may receive medical data and provide medical safety reporting capabilities including reporting of history data and real-time visual monitoring data. The graphical interface platform may be configured to identify potential problems and corrections to medical devices in operation while a reporting cycle is underway through visual representation of performance metrics.,20230307,ICU MEDICAL INC,HUME JAMES A,G16H20/30
US-2024303601-A1,Systems and methods for a graphical interface including a graphical representation of medical data,This disclosure describes systems and methods for a graphical interface including a graphical representation of medical data. The graphical interface platform may receive medical data and provide medical safety reporting capabilities including reporting of history data and real-time visual monitoring data. The graphical interface platform may be configured to identify potential problems and corrections to medical devices in operation while a reporting cycle is underway through visual representation of performance metrics.,20240912,ICU MEDICAL INC,HUME JAMES A,G16H40/67
US-11883623-B2,Medical connector,"A soft grip medical connector comprises a housing with an upstream end, a downstream end and a lumen extending through a central portion thereof. A flexible member comprises a valve portion integrally formed with a sleeve portion. The valve portion is positioned within a section of the housing and is configured to control a flow of fluid through the housing lumen. The sleeve is inverted to envelope at least a portion of the outer surface of the housing. In some embodiments the gripping portion is integrally formed with the valve portion. In some embodiments, the connector is also generally configured to create a positive pressure in a catheter lumen upon removal of a syringe or other medical device from the upstream end of the connector. Methods of making a medical fluid connector generally comprise forming a valve member with a sleeve extending there from, and assembling the valve, sleeve and housing.",20240130,ICU MEDICAL INC,FANGROW THOMAS F,A61M39/10
US-2022401125-A1,Single port instrument access device,"Disclosed are medical devices for surgical procedures, especially procedures that involve the manipulation of surgical instrument end effectors close to the skin surface at an incision site. In accordance with some embodiments, an instrument access device is configured to couple to a wound retractor at a distal end of the device and to receive a multiple instrument entry guide in a port at the proximal end of the instrument access device, with an envelope between the distal and proximal ends defining a sealed cavity for maintaining insufflation pressure. Various embodiments provide means for rotating an assistant port in the envelope about a port that receives the instrument entry guide without twisting the envelope. Also disclosed are various envelope shapes. Also disclosed is an instrument entry guide that aligns surgical instrument shafts.",20221222,INTUITIVE SURGICAL OPERATIONS,LITKE RONALD G,A61B34/35
US-2024273900-A1,Protection of personally identifiable content in a video stream generated by an imaging device during a medical procedure,"An illustrative image processing system is configured to apply a video stream to a machine learning model, the video stream generated by an imaging device during a medical procedure performed with respect to a patient; classify, based on an output of the machine learning model, an image frame included in the video stream as an ex-body frame that depicts content external to a body of the patient: and apply, based on the classifying the image frame as the ex-body frame, a privacy enhancing operation to the image frame.",20240815,INTUITIVE SURGICAL OPERATIONS,QIN YIDAN,G06F21/6263
US-2021142475-A1,Systems and methods for segmentation of anatomical structures for image-guided surgery,A method for image segmentation comprises receiving volumetric image data for an anatomical region and generating a first volumetric patch from the volumetric image data. The method also comprises generating a second volumetric patch from the first volumetric patch by weighting a plurality of volumetric units in the first volumetric patch and receiving the second volumetric patch as an input to a convolutional neural network. The method also comprises conducting a down-sampling filter process and conducting an up-sampling filter process within the convolutional neural network.,20210513,INTUITIVE SURGICAL OPERATIONS,LI JUNNING,A61B90/37
US-10751135-B2,System and method for providing feedback during manual joint positioning,"A system and method of providing feedback during manual joint positioning includes a computer-assisted medical device. The computer-assisted medical device includes an articulated arm comprising a joint and a control unit coupled to the articulated arm. The control unit is configured to provide feedback during manual positioning of the joint by determining a target position for the joint, determining kinematics of the joint relative to the target position, and providing feedback based on the kinematics of the joint.",20200825,INTUITIVE SURGICAL OPERATIONS,GRIFFITHS PAUL G,B25J19/0004
WO-2019023390-A2,Medical device handle,"An example medical device configured for use with a teleoperated surgical system may include a control system, a movable manipulator arm, and a handle coupled to the manipulator arm, wherein in a first pose of the movable manipulator arm, the handle is oriented at a first convenient hold angle to a clinical user, wherein in a second pose of the movable manipulator arm different from the first pose, the handle is oriented at a second convenient hold angle to the clinical user, different from the first convenient hold angle, and wherein the control system includes programmed instructions to automatically move the handle from the first orientation to the second orientation as the movable manipulator arm moves from the first pose to the second pose.",20190131,INTUITIVE SURGICAL OPERATIONS,HULFORD TIMOTHY B,A61B2034/258
US-2021382157-A1,Method and system for adaptive beamforming of ultrasound signals,"The invention relates to a method for adaptive beamforming of ultrasound signals, the method comprising the steps of (a) Receiving time-aligned RF signals acquired by multiple ultrasound transducer elements in response to an ultrasound transmission; (b) Determining content-adaptive apodization weights for beamforming the time-aligned RF signals by applying a trained artificial neural network (16) to the time-aligned RF signals; and (c) Applying the content-adaptive apodization weights to the time-aligned RF signals to calculate a beamformed output signal. The invention also relates to a method for training an artificial neural network (16) useful in adaptive beamforming of ultrasound signals, and a related computer program and system.",20211209,KONINKLIJKE PHILIPS NV,LUIJTEN WOUTER MARINUS BENJAMIN,G06N3/045
US-11639422-B2,Skin-contact product having moisture and microclimate control,"Skin-contact products with a transpiration function such as medical devices or medicinal products, of which face masks, aspirators, ventilators, breast pumps or wound dressings are examples are described especially a skin-contact product with a transpiration function with an improved microclimate at a patient interface material-skin contact area. In an embodiment a material system is described that comprises a hydrophobic silicone base material and a hydrophilic silicone material that is combined with the hydrophobic base material.",20230502,KONINKLIJKE PHILIPS NV,WILLARD NICOLAAS PETRUS,A61M2205/0238
US-2023355208-A1,Medical device with forward and sideward ablation monitoring ultrasound transducers,The invention relates to ultrasound imaging method and apparatus suitable for minimally invasive ultrasound diagnostic devices in cardiac ablation monitoring and in tumor ablation monitoring. The present invention proposes an assembly of forward and side-facing transducers and a system of embedded forward and side-facing transducers in apertures on surfaces of the assembly. This provides control of the acoustic properties of the transducer and improved ablation monitoring when the assembly is incorporated in a medical device.  FIG.  10,20231109,KONINKLIJKE PHILIPS NV,DELADI SZABOLCS,A61B8/4483
US-2019240402-A1,System and method for predicting motor wear out in infusion systems,A rotary drive for a medical device (10) includes a rotary motor (14) including a rotor (26). A rotary motion encoder (34) is connected to the rotor. The rotary motion encoder is configured to generate a number of encoder steps measuring a rotational distance of the rotor. At least one electronic processor (18) is programmed to determine at least one of a slippage value of the rotary motor measured during motor operation and a coasting value of the rotary motor measured after stopping motor operation based on comparison of an actual count of encoder steps and an expected count of encoder steps.,20190808,KONINKLIJKE PHILIPS NV,CONSIGLIO RONALD PAUL,A61M5/1452
US-2022160432-A1,Persistent guide wire identification,"A system (IPS) for supporting image-based navigation, comprising: an input interface (IN) for reviving one or more input images acquired by an X-ray imager (IA) whilst two or more medical devices (GW 1,  GW 2 ) are present in a field of view (FoV) of the X-ray imaging apparatus. An image identifier (ID) identifies the two or more medical devices based on image information in the one or more images. A tagger (TGG) associates a respective, unique, tag with each of at least two of the two or more medical devices (GW 1,  GW 2 ) so identified. A graphics display generator (GDG) effects displaying on a display device (DD) the one or more input images in a video feed, with the tags included.",20220526,KONINKLIJKE PHILIPS NV,AUVRAY VINCENT MAURICE ANDRÉ,G16H40/63
US-2019167152-A1,Method and apparatus for the diagnosis of pneumonia using exhaled breath metabolomics,"A method and apparatus for the diagnosis of hospital-acquired pneumonia is described. The method uses the analysis of volatile organic compounds (VOCs) in exhaled breath that indicate pneumonia or the presence of pathogens in the respiratory tract in intubated and mechanically ventilated intensive care unit patients. The apparatus may be an electronic nose incorporated into a ventilation system, which outputs to a display the indication of pneumonia. One particular useful VOC is 1-propanol.",20190606,KONINKLIJKE PHILIPS NV,WEDA JOHANNES,G01N33/0047
US-11497563-B2,Synchronized tracking of multiple interventional medical devices,"A controller (240/340) for simultaneously tracking multiple interventional medical devices includes a memory (242/342) that stores instructions and a processor (241/341) that executes the instructions. When executed by the processor (241/341), the instructions cause the controller to execute a process that includes receiving timing information from a first signal emitted from an ultrasound probe (252/352) and reflective of timing when the ultrasound probe (252/352) transmits ultrasound beams to generate ultrasound imagery. The process executed by the controller also includes forwarding the timing information to be available for use by a first acquisition electronic component (232/332). The first acquisition electronic component (232/332) also receives sensor information from a first passive ultrasound sensor (S1) on a first interventional medical device (212/312). The timing information is used to synchronize the sensor information from the first passive ultrasound sensor (S1) on the first interventional medical device (212/312) with sensor information from a second passive ultrasound sensor (S2) on a second interventional medical device (216/316).",20221115,KONINKLIJKE PHILIPS NV,ERKAMP RAMON QUIDO,A61B2034/2063
US-2018035901-A1,Wearable device obtaining audio data for diagnosis,"Systems, devices, and methods for providing audio database for health systems that may utilize wearable devices that monitor wearable sensor readings for symptoms associated with a disease and that may prompt a user of the wearable device to place a microphone from the wearable device on a specific location on the user&#39;s body for recording an audio file that may be sent to a health professional for diagnosis of the disease.",20180208,KONINKLIJKE PHILIPS NV,CRONIN JOHN E,A61B5/0816
US-11925453-B2,Virtually-oriented electromagnetic tracking system for medical instrument navigation,"A medical device for the electromagnetic tracking of a medical instrument transported through the medical device. The medical device has a central axis and a channel that receives and transports a medical instrument through the medical device. The channel extends to a distal portion of the medical device and connects with an opening in the medical device that is not aligned with the central axis. The medical device includes a tracking component that is a plurality of coordinated electromagnetic sensors for generating a virtual axis of travel for the medical instrument, with the virtual axis passing through the opening of the device and being aligned with tool insertion axis.",20240312,KONINKLIJKE PHILIPS NV,MEHENDALE ADITYA,A61B5/062
US-2018078117-A1,Deflectable medical device,"A deflectable medical device ( 1 ) includes a shape memory alloy wire ( 15 ) integrated into a flexible elongated body ( 11 ). The shape memory alloy wire ( 15 ) is arranged to shorten upon receiving energy from an energy supply ( 2,4 ), thereby deflecting the medical device ( 1 ). A rod ( 18 ) positioned in a lumen ( 14 ) of the flexible elongated body ( 11 ) and compressed between a fixture ( 16 ) in the proximal end ( 12 ) of the elongated body ( 11 ) and the distal end ( 13 ) of the elongated body ( 11 ) is responsible for the shape memory alloy wire ( 15 ) recovering its initial length upon discontinuation of energy supply.",20180322,KONINKLIJKE PHILIPS NV,VONCKEN RUDOLF MARIA JOZEF,A61M25/0147
US-2020021996-A1,Access point with life-critical network aware ieee 802.11 channel selection,"A medical device comprises a medical imaging, diagnostic, or therapeutic component ( 10 ), and an access point ( 30 ) operating as a hub for a wireless local area network (WLAN) complying with a wireless communication protocol having a defined set of WLAN channels. The access point includes a radio ( 32 ), an electronic processor ( 34 ), and a non-transitory storage medium ( 36 ) storing a list of one or more critical medical WLANs ( 40 ) and instructions executable by the electronic processor. Scan instructions ( 42 ) operate the radio to measure traffic on the WLAN channels generated by critical medical WLANs listed on the list ( 40 ). Channel selection instructions ( 44 ) select a channel based on at least the measured traffic on the WLAN channels generated by critical medical WLANs on the list ( 40 ). WLAN operating instructions ( 46 ) operate the access point as a hub for a medical device WLAN carrying traffic on the selected WLAN channel.",20200116,KONINKLIJKE PHILIPS NV,HARROD JOHN PRICE,H04W16/10
US-2022265196-A1,Clinical contextual electrocardiogram monitoring,Various embodiments of the present disclosure encompass an ECG control network of ECG test controller (10) and ECG context controller (40). The ECG test controller (10) control a recording of an ECG test. The ECG context controller (40) control a synchronization of the recording of the ECG test by the ECG test controller (10) with a recording of a video clip illustrative of a clinical context of the ECG test and/or a recording of an audio clip informative of a clinical context of the ECG test. The ECG context controller (40) further control a simultaneous presentation of a display of the recording of the ECG test with of a playing of the video clip contextually interpretative of the ECG test and/or a playing of the audio clip contextually interpretative of the ECG test.,20220825,KONINKLIJKE PHILIPS NV,ZHOU SOPHIA HUAI,A61B5/318
US-11140957-B2,Protective cradle and modular pouches,"A modular medical device employs a defibrillator/monitor (20) and one or more pouch modules (60). The defibrillator/monitor (20) includes a defibrillator and/or an electrocardiogram (“ECG”) monitor (e.g., a defibrillator module and a ECG monitor module). Each pouch module (60) is permanently or detachably adjoined to the defibrillator/monitor (20) and is structurally configured to store one or more accessory items (40, 50) in support of an operation of the defibrillator/monitor (20) (e.g., ECG cable(s), electrode(s), transducer(s), pad(s), data storage device(s), paper, communication device(s), first aid product(s)/fluid(s) and medical supply(ies)/tool(s)). Alternatively, a cradle module (70) having a frame may be employed by the modular medical device to adjoin the pouch module(s) (60) to the defibrillator/monitor (20) and may partially, if not entirely, encircle the defibrillator/monitor (20). The pouch module(s) (60) and/or the cradle module (70) may include storage covers to secure the stored accessory item(s) (40, 50) within the pouch module(s) (60).",20211012,KONINKLIJKE PHILIPS NV,PARK JAE,A61B5/318
US-2024252828-A1,Method and apparatus for delivering bundle branch pacing,"A medical device processor is configured to receive at least one cardiac electrical signal that is sensed during bilateral bundle branch pacing delivered from a bipolar electrode pair comprising an anode positioned along a first bundle branch and a cathode positioned along a second bundle branch opposite the first bundle branch, determine at least one feature from the first cardiac electrical signal, determine that the at least one feature meets first bundle branch capture criteria; and determine anodal bundle branch capture in response to the first bundle branch capture criteria being met.",20240801,MEDTRONIC INC,ZHOU XIAOHONG,A61N1/3702
US-2021154477-A1,Implantable medical devices for multi-chamber pacing,"Systems, devices, and methods may be used to deliver and provide cardiac pacing therapy to a patient. Leads or leadlets carrying one or more left ventricular electrodes may be positioned in or near the interventricular septum to sense and pace left ventricular signals of the patient&#39;s heart. In one example, a leadlet including one or more left ventricular electrodes may extend in the coronary sinus from a leadless implantable medical device located in the right atrium.",20210527,MEDTRONIC INC,ASLESON ANDREA J,A61N1/3622
US-2023191142-A1,Implantable medical lead shield,"An example medical device system includes an implantable medical lead including a first defibrillation electrode and a second defibrillation electrode, the first and second defibrillation electrodes configured to deliver antitachyarrhythmia shocks, and a pace electrode disposed between the first defibrillation electrode and the second defibrillation electrode, the pace electrode configured to deliver a pacing pulse that generates an electric field proximate to the pace electrode. The medical device system includes a shield configured to be implanted in a patient separately from the implantable medical lead and disposed anterior at least one of the electrodes, wherein the shield is configured to impede an electric field of the electrical therapy in a direction from at least one of the first defibrillation electrode, the second defibrillation electrode, or the pace electrode away from a heart of the patient.",20230622,MEDTRONIC INC,FORMOSA ELIZABETH K,A61N1/39622
US-2019117985-A1,Multi-threshold sensing of cardiac electrical signals in an implantable medical device,An implantable medical device system is configured to sense cardiac events in response to a cardiac electrical signal crossing a cardiac event sensing threshold. A control circuit is configured to determine a drop time interval based on a heart rate and control a sensing circuit to hold the cardiac event sensing threshold at a threshold value during the drop time interval.,20190425,MEDTRONIC INC,CAO JIAN,A61N1/3987
US-2021121707-A1,Recharge algorithm for accurate heat control estimation in presence of ferrite and electronics,"A method for controlling charging a power source of an implantable medical device (IMD) in a patient including determining a power being delivered to a primary coil of an external charging device for recharging, determining an estimated power delivered to the IMD power source an estimated heat generated by the primary coil based on a resistance of the primary coil determined as function of at least one of a recharge frequency, a temperature of the primary coil, and a current supplied to the primary coil, calculating an estimated heat generated by the IMD by subtracting the estimated heat generated by the primary coil and the estimated power delivered stored by the rechargeable power source from the power being delivered to a primary coil; and controlling based on the heat generated by the IMD, the power being delivered by the primary coil of the external charging device.",20210429,MEDTRONIC INC,FRIED ANDREW,H02J50/10
US-2019167360-A1,Navigation guidance method for complex catheters,"A method and system for determining a target location for a medical device having complex geometry relative to an anatomical feature, and for navigating and positioning the medical device at the target location. The system may include a medical device including a treatment element having a centroid, one or more navigation electrodes, and a longitudinal axis and a navigation system in communication with the one or more navigation electrodes, the navigation system including a processing unit. The processing unit may be programmed to define a plane that approximates a surface of the anatomical feature, define a centroid of the anatomical feature, define a vector that is normal to the plane and extends away from the centroid of the anatomical feature, and determine a target location for the treatment element of the medical device based on the vector to assist the user in placing the device for treatment.",20190606,MEDTRONIC INC,HARELAND SCOTT A,A61B34/20
US-10874850-B2,Impedance-based verification for delivery of implantable medical devices,"A device for delivering an implantable medical device (IMD) includes an elongated member and a deployment bay configured to house the IMD, the deployment bay defining a distal opening for deploying the IMD out of the deployment bay. The device includes a first electrode located inside the deployment bay during intravascular navigation, a second electrode, and impedance detection circuitry configured to deliver an electrical signal to a path between the first electrode and the second electrode through at least one of a fluid or tissue of the patient. The device also includes processing circuitry configured to determine an impedance of the path based on the signal and control a user interface to indicate when an impedance of the path indicates that at least one of the IMD or the distal opening is in a fixation configuration relative to the target site of the patient.",20201229,MEDTRONIC INC,DRAKE RONALD A,A61N1/059
US-2021060348-A1,Cardiac resynchronization therapy mode switching using mechanical activity,"A method includes determining whether electrical activity is indicative of atrial fibrillation, determining whether mechanical activity is indicative of atrial fibrillation, and adjusting a pacing parameter or mode based on whether the electrical activity and the mechanical activity are indicative of atrial fibrillation. The electrical activity may be detected based on a far-field measurement. The method may be performed using a leadless implantable medical device.",20210304,MEDTRONIC INC,GHOSH SUBHAM,A61N1/36507
US-2023127724-A1,Implantable medical devices having modular lead bores,Implantable medical devices have modular lead bores that are constructed from individual lead bore modules. A given modular lead bore utilizes the number of individual lead bore modules necessary for the particular implantable medical device. Each lead bore module has a lead bore passageway and a feedthrough passageway. An electrical contact is present within the lead bore passageway of each lead bore module and the electrical contact is aligned to the lead bore passageway of a lead bore module. Hermetic feedthrough assemblies are also present within the lead bore passageway of each lead bore module. A feedthrough pin passes through a hermetic feedthrough assembly within a feedthrough passageway of each lead bore module. Each feedthrough pin is electrically coupled to a corresponding electrical contact and the medical device circuitry.,20230427,MEDTRONIC INC,JANZIG DARREN A,A61N1/3754
US-2021379387-A1,Extra-cardiovascular cardiac pacing system,"An extra-cardiovascular medical device is configured to select a capacitor configuration from a capacitor array and deliver a low voltage, pacing pulse by discharging the selected capacitor configuration across an extra-cardiovascular pacing electrode vector. In some examples, the medical device is configured to determine the capacitor configuration based on a measured impedance of the extra-cardiovascular pacing electrode vector.",20211209,MEDTRONIC INC,THOMPSON-NAUMAN AMY E,A61N1/3706
US-11475998-B2,Data preparation for artificial intelligence-based cardiac arrhythmia detection,"Techniques are disclosed for preparing data for use in artificial intelligence (AI)-based cardiac arrhythmia detection. In accordance with the techniques of this disclosure, a computing system may obtain a cardiac electrogram (EGM) strip that represents a waveform of a cardiac rhythm of a same patient. Additionally, the computing system may preprocess the cardiac EGM strip. The computing system may then apply a deep learning model to the preprocessed cardiac EGM strip to generate arrhythmia data indicating whether the cardiac EGM strip represents one or more occurrences of one or more cardiac arrhythmias.",20221018,MEDTRONIC INC,MUSGROVE DONALD R,G16H50/20
US-11607140-B2,Self-calibrating glucose monitor,A medical system including processing circuitry configured to receive a cardiac signal indicative of a cardiac characteristic of a patient from sensing circuitry and configured to receive a glucose signal indicative of a glucose level of the patient. The processing circuitry is configured to formulate a training data set including one or more training input vectors using the cardiac signal and one or more training output vectors using the glucose signal. The processing circuitry is configured to train a machine learning algorithm using the formulated training data set. The processing circuitry is configured to receive a current cardiac signal from the patient and determine a representative glucose level using the current cardiac signal and the trained machine learning algorithm.,20230321,MEDTRONIC INC,O'BRIEN RICHARD J,A61B2560/0223
US-11638828-B2,Demand driven capacitor charging for cardiac pacing,An implantable medical device system delivers a pacing pulse to a patient&#39;s heart and starts a first pacing interval corresponding to a pacing rate in response to the delivered pacing pulse. The system charges a holding capacitor to a pacing voltage amplitude during the first pacing interval. The system detects an increased intrinsic heart rate that is at least a threshold rate faster than the current pacing rate from a cardiac electrical signal received by a sensing circuit of the implantable medical device. The system starts a second pacing interval in response to an intrinsic cardiac event sensed from the cardiac electrical signal and withholds charging of the holding capacitor for at least a portion of the second pacing interval in response to detecting the increased intrinsic heart rate.,20230502,MEDTRONIC INC,SAWCHUK ROBERT T,A61N1/3621
US-2022266029-A1,Neurostimulation using time-interleaved cascade of bipolar electrode combinations,"An example method of delivering electrical stimulation includes obtaining, by an implantable medical device (IMD) connected to a lead carrying a plurality of electrodes, one or more stimulation parameters; and delivering, by the IMD and based on the one or more stimulation parameters, electrical stimulation therapy via the plurality of electrodes, wherein delivering the electrical stimulation therapy comprises scanning delivery of the electrical stimulation therapy through different pairs of electrodes of the plurality of electrodes.",20220825,MEDTRONIC INC,KRAMER JEFFERY M,A61N1/36067
US-11247061-B2,Cardiac device system,"In some examples, medical device systems that deliver anti-tachyarrhythmia shock(s) (e.g., defibrillation shock(s)) to a heart of a patient in coordination with the respiration of the patient. In one example, a medical device system including therapy generation circuitry configured to generate a defibrillation shock. The medical device system also includes processing circuitry configured to identify a time at which a respiratory volume of a lung of a patient is at approximately end tidal volume or less; and control the therapy generation circuitry to deliver the defibrillation shock to a heart of the patient at the time that the respiratory volume of the lung of a patient is at the approximately end tidal volume or less.",20220215,MEDTRONIC INC,THOMPSON-NAUMAN AMY E,A61N1/3925
WO-2024201167-A1,Medical device for detecting arrhythmia,"A medical device is configured to obtain a cardiac signal segment from a cardiac signal sensed by a sensing circuit of the medical device and perform a morphology analysis of the cardiac signal segment for classifying the cardiac signal segment as being one of ventricular tachyarrhythmia, non-ventricular tachyarrhythmia or asystole. The medical device may override a rejection rule for withholding a tachyarrhythmia detection by detecting ventricular tachyarrhythmia in response to a required number of tachyarrhythmia intervals being detected and the cardiac signal segment being classified as ventricular tachyarrhythmia based on the morphology analysis when the rejection rule is met.",20241003,MEDTRONIC INC,ARANDA HERNANDEZ ALFONSO,A61N1/3621
US-2019336752-A1,Fixation device for medical device retention,"In some examples, a fixation device includes a flexible band with a first base portion, a second base portion, and a connecting strap connecting the first base portion to the second base portion, the connecting strap configured to retain a medical device to an anatomical structure of a patient, wherein the flexible band is constructed of a first material. The fixation device may further include a plurality of inserts, each insert of the plurality of inserts defining an inner channel and constructed of a second material more rigid than the first material of the flexible band, wherein a first insert of the plurality of inserts is at least partially within the first base portion, and wherein a second insert of the plurality of inserts is at least partially within the second base portion.",20191107,MEDTRONIC INC,BAUER RYAN T,A61N1/3605
